"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
240072007,"竹本 直一","クールジャパン戦略担当大臣","文部科学大臣"
240072008,"竹本 直一","クールジャパン戦略担当大臣","厚生労働大臣"
240072011,"竹本 直一","クールジャパン戦略担当大臣","国土交通大臣"
240072012,"竹本 直一","クールジャパン戦略担当大臣","環境大臣"
240072013,"竹本 直一","クールジャパン戦略担当大臣","防衛大臣（防衛庁長官）"
240072014,"竹本 直一","クールジャパン戦略担当大臣","国家公安委員会委員長"
240072015,"竹本 直一","クールジャパン戦略担当大臣","防災担当大臣"
240072016,"竹本 直一","クールジャパン戦略担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
240072017,"竹本 直一","クールジャパン戦略担当大臣","沖縄及び北方対策担当大臣"
240072019,"竹本 直一","クールジャパン戦略担当大臣","経済財政政策担当大臣"
240072021,"竹本 直一","クールジャパン戦略担当大臣","規制改革担当大臣"
240072022,"竹本 直一","クールジャパン戦略担当大臣","男女共同参画担当大臣"
240072024,"竹本 直一","クールジャパン戦略担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
240072028,"竹本 直一","クールジャパン戦略担当大臣","少子化対策担当大臣"
240072039,"竹本 直一","クールジャパン戦略担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
240072040,"竹本 直一","クールジャパン戦略担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
240072043,"竹本 直一","クールジャパン戦略担当大臣","海洋政策担当大臣"
240072044,"竹本 直一","クールジャパン戦略担当大臣","拉致問題担当大臣"
240072045,"竹本 直一","クールジャパン戦略担当大臣","再チャレンジ担当大臣"
240072061,"竹本 直一","クールジャパン戦略担当大臣","原子力防災担当大臣"
240072062,"竹本 直一","クールジャパン戦略担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
240072066,"竹本 直一","クールジャパン戦略担当大臣","東京オリンピック・パラリンピック担当大臣"
240072071,"竹本 直一","クールジャパン戦略担当大臣","国土強靱化担当大臣"
240072079,"竹本 直一","クールジャパン戦略担当大臣","マイナンバー制度担当大臣"
240072082,"竹本 直一","クールジャパン戦略担当大臣","こども政策担当大臣"
240072083,"竹本 直一","クールジャパン戦略担当大臣","孤独・孤立対策担当大臣"
240072086,"竹本 直一","クールジャパン戦略担当大臣","経済安全保障担当大臣"
240076003,"竹本 直一","知的財産戦略担当大臣","総務大臣"
240076004,"竹本 直一","知的財産戦略担当大臣","法務大臣"
240076005,"竹本 直一","知的財産戦略担当大臣","外務大臣"
240076007,"竹本 直一","知的財産戦略担当大臣","文部科学大臣"
240076008,"竹本 直一","知的財産戦略担当大臣","厚生労働大臣"
240076011,"竹本 直一","知的財産戦略担当大臣","国土交通大臣"
240076012,"竹本 直一","知的財産戦略担当大臣","環境大臣"
240076013,"竹本 直一","知的財産戦略担当大臣","防衛大臣（防衛庁長官）"
240076014,"竹本 直一","知的財産戦略担当大臣","国家公安委員会委員長"
240076015,"竹本 直一","知的財産戦略担当大臣","防災担当大臣"
240076016,"竹本 直一","知的財産戦略担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
240076017,"竹本 直一","知的財産戦略担当大臣","沖縄及び北方対策担当大臣"
240076019,"竹本 直一","知的財産戦略担当大臣","経済財政政策担当大臣"
240076021,"竹本 直一","知的財産戦略担当大臣","規制改革担当大臣"
240076022,"竹本 直一","知的財産戦略担当大臣","男女共同参画担当大臣"
240076024,"竹本 直一","知的財産戦略担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
240076028,"竹本 直一","知的財産戦略担当大臣","少子化対策担当大臣"
240076039,"竹本 直一","知的財産戦略担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
240076040,"竹本 直一","知的財産戦略担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
240076043,"竹本 直一","知的財産戦略担当大臣","海洋政策担当大臣"
240076044,"竹本 直一","知的財産戦略担当大臣","拉致問題担当大臣"
240076045,"竹本 直一","知的財産戦略担当大臣","再チャレンジ担当大臣"
240076061,"竹本 直一","知的財産戦略担当大臣","原子力防災担当大臣"
240076062,"竹本 直一","知的財産戦略担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
240076066,"竹本 直一","知的財産戦略担当大臣","東京オリンピック・パラリンピック担当大臣"
240076071,"竹本 直一","知的財産戦略担当大臣","国土強靱化担当大臣"
240076079,"竹本 直一","知的財産戦略担当大臣","マイナンバー制度担当大臣"
240076082,"竹本 直一","知的財産戦略担当大臣","こども政策担当大臣"
240076083,"竹本 直一","知的財産戦略担当大臣","孤独・孤立対策担当大臣"
240076086,"竹本 直一","知的財産戦略担当大臣","経済安全保障担当大臣"
